N,bits,RMSE,NRMSE,R²
50,FP,0.06249986036331566,0.06924720199407984,0.8900351567773777
100,FP,0.06284824665025339,0.06963319926580662,0.8888058094621384
150,FP,0.06229807937389878,0.06902363719167082,0.8907440542504149
200,FP,0.06254020580620842,0.0692919030384869,0.889893140067381
250,FP,0.06167928593921647,0.06833804023649415,0.8929037066952559
300,FP,0.06269392346062229,0.06946221569844127,0.8893512112883583
350,FP,0.06198248612890936,0.06867397322351615,0.891848200711776
400,FP,0.062143652809917016,0.06885253908989693,0.8912850375038882
450,FP,0.06297546158984692,0.06977414803861169,0.8883552040934469
500,FP,0.062238657879906144,0.068957800689423,0.8909523770558542
50,4,0.0787556810493519,0.08725796381149674,0.8253938452494203
50,6,0.06617492198832901,0.07331901484627883,0.8767228341735201
50,8,0.06344230067508604,0.07029138600116655,0.8866938160782689
50,16,0.0627288715610431,0.06950093671565766,0.8892278167848308
100,4,0.07821899556695788,0.08666333899488766,0.8277654658270757
100,6,0.0668491268579546,0.0740660053278729,0.8741980874771755
100,8,0.06387635320237021,0.07077229784413973,0.8851381008861081
100,16,0.06339339440556167,0.07023719992291223,0.8868684392191659
150,4,0.07993311317488894,0.08856250880979626,0.820133940173617
150,6,0.06632713088015565,0.07348765586109622,0.8761550825350415
150,8,0.0641826528305579,0.07111166487793032,0.8840338891429111
150,16,0.06260520563711006,0.06936392010210692,0.8896641466899403
200,4,0.07901984042332656,0.08755064122584484,0.8242205659286113
200,6,0.06610982252209792,0.07324688739092763,0.8769652622724486
200,8,0.06580451706468456,0.07290862185630882,0.878099025430453
200,16,0.06399548546546775,0.07090429135322554,0.8847092561662835
250,4,0.07834586194887803,0.08680390158053208,0.8272063051696043
250,6,0.06563872977548851,0.07272493655147336,0.8787124840513758
250,8,0.06657073349167739,0.07375755725204768,0.8752437104816291
250,16,0.06411841382229026,0.07104049077361152,0.8842659088423543
300,4,0.07653191560134995,0.08479412574417793,0.8351150818170346
300,6,0.0673611687577959,0.07463332609725744,0.872263505673652
300,8,0.06473524474571753,0.07172391334931752,0.8820284314424676
300,16,0.06358041946429761,0.07044441577819507,0.8861999264152615
350,4,0.0758815926799823,0.08407359545122135,0.8379053650322792
350,6,0.06650426550750821,0.07368391353669941,0.8754927135762887
350,8,0.06514954002946659,0.07218293500204116,0.8805136009668254
350,16,0.06410699364433317,0.07102783769942535,0.8843071321394732
400,4,0.07924845002543311,0.08780393099645928,0.8232020117275773
400,6,0.06722979906866454,0.07448777403768007,0.872761250613478
400,8,0.06583948856902623,0.0729473688040797,0.8779694235902316
400,16,0.0647067887583428,0.07169238531878716,0.8821321233232275
450,4,0.07846146305819952,0.08693198272057609,0.8266960068794662
450,6,0.06910645605743165,0.0765670306123241,0.8655586053415256
450,8,0.0668994784190153,0.07412179272802419,0.874008505099019
450,16,0.06367191501669207,0.07054578898065327,0.8858721622220128
500,4,0.07875497782469955,0.0872571846683232,0.8253969634195037
500,6,0.06797088048800576,0.07530886090796854,0.8699406567000652
500,8,0.06661035145080267,0.07380145227520762,0.8750951749300238
500,16,0.06638641525388443,0.07355334043989087,0.8759335939975509
